Word,Gender
abime,m
abjection,f
abjuration,f
ablactation,f
ablation,f
abraxas,m
abbatial,m
abord,m
abreuvoir,m
aberrance,f
ablution,f
livre,m
livre,f
abrogation,f
été,m
abscission,f
patronage,m
abolition,f
abaca,m
abalone,m
connotation,f
abomination,f
acclimatation,f
abdication,f
acception,f
acciaccatura,f
abrasion,f
acajou,m
chien,m
acceptation,f
abduction,f
jeudi,m
accoucheur,m
absolution,f
abracadabra,m
acclamation,f
abattoir,m
FAQ,f
pseudo,m
lente,f
aberration,f
oxymoron,m
observateur,m
représentant,m
able,m
CE,m
CE,m
accolade,f
quiz,m
mandat,m
parole,f
abstinent,m
brassière,f
occultation,f
BM,f
langue,f
centavo,m
jour,m
doctrine,f
absent,m
abdomen,m
aria,f
nu,m
nu,m
andante,m
are,m
servant,m
LED,f
GSM,m
abandon,m
fa,m
webmaster,m
alphabet,m
libero,m
minute,f
robot,m
globalisation,f
DVD,m
DVD,f
peso,m
avatar,m
eagle,m
acacia,m
accord,m
accommodation,f
inflation,f
consensus,m
railway,m
SMS,m
flute,f
tao,m
van,m
van,m
pie,f
euro,m
indice,m
alien,m
meeting,m
mobile,m
fable,f
ami,m
quarter,m
mars,m
deal,m
abstention,f
lapidation,f
stock,m
abstraction,f
abstinence,f
about,m
acidification,f
accumulation,f
absorption,f
accession,f
os,m
pollution,f
dictionnaire,m
bio,m
bio,f
bio,f
Schadenfreude,f
accrue,f
accusation,f
software,m
smiley,m
DDT,m
colon,m
religion,f
fart,m
translation,f
point,m
absence,f
port,m
port,m
book,m
gag,m
nuisance,f
absinthe,f
tigre,m
secret,m
standard,m
slow,m
index,m
minuscule,f
ace,m
ache,f
ache,m
krill,m
de,f
grapefruit,m
accent,m
mauve,f
mauve,m
mauve,f
radio,f
radar,m
duel,m
language,m
penny,m
quine,m
tuba,m
Afghan,m
dollar,m
tempo,m
cane,f
latin,m
star,f
bot,m
open,m
soccer,m
Catalan,m
rational,f
mental,m
fruit,m
bit,m
country,m
magenta,m
Saxon,m
existence,f
triangle,m
plant,m
violet,m
orange,f
orange,m
guanaco,m
impala,m
football,m
koala,m
nickel,m
wombat,m
second,m
cube,m
dual,m
date,f
date,f
date,m
weekend,m
green,m
poison,m
xylophone,m
amontillado,m
yacht,m
cherry,m
karoshi,m
quadrant,m
but,m
boomerang,m
mikado,m
interjection,f
bongo,f
amusement,m
yak,m
design,m
infinitive,f
llama,m
quadruplet,m
kiwi,m
four,m
tennis,m
age,m
nature,f
coin,m
mi,m
hacienda,f
ours,m
wiki,m
chartreuse,f
habitat,m
quadruple,m
bisque,f
bisque,f
sorbet,m
iceberg,m
rite,m
or,m
expression,f
stand,m
homophone,m
sombrero,m
argument,m
lob,m
pi,m
baby,m
boom,m
caracal,m
action,f
article,m
for,m
non,m
fuchsia,m
finale,f
finale,f
finale,m
accident,m
pigment,m
angle,m
guacamole,m
taupe,f
rue,f
rue,f
pyrope,m
lama,m
lama,m
cyan,m
gyroscope,m
parent,m
candidate,f
pistil,m
habit,m
tutu,m
drink,m
lilac,m
hobby,m
martyr,m
case,f
brochure,f
animal,m
abdo,m
alligator,m
square,m
tract,m
shit,m
pyramidion,m
indigo,m
omelette,f
cousin,m
cousin,m
PE,m
safari,m
carne,f
carne,f
carnation,f
air,m
turquoise,f
turquoise,m
CS,m
pamphlet,m
PA,m
diesel,m
SP,m
fortune,f
CH,m
GA,m
tan,m
IA,f
NM,m
civil,m
art,m
girl,f
sol,m
sol,m
sol,m
sol,m
positron,m
CA,m
hamster,m
olive,f
cadi,m
benzol,m
salsa,f
car,m
palace,m
cadastre,m
chromosome,m
grande parure,f
polder,m
hand,m
obiit,m
gaffer,m
cadre,m
pyrargyrite,f
verre,m
gray,m
gaffe,f
gaffe,f
fellah,m
sanction,f
hadj,m
handicap,m
kawa,m
bronze,m
rat,m
bruit,m
clause,f
basin,m
jargon,m
jargon,m
furigana,m
bal,m
graffiti,m
graffiti,m
mine,f
mine,f
juxtaposition,f
oral,m
bouton,m
son,m
son,m
japonais,m
vert,m
boulevard,m
vers,m
acre,f
loco,f
phrase,f
avenue,f
chair,f
slang,m
pavement,m
pupitre,m
matador,m
as,m
homme du monde,m
homme de guerre,m
homme d'affaires,m
bel,m
homme de lettres,m
homme de Dieu,m
usage,m
ver,m
jaune,m
boy,m
macadam,m
businessman,m
gravitation,f
twit,m
pizza,f
gallo,m
zoom,m
trail,m
talent,m
rose,f
rose,m
kami,m
Maori,m
friction,f
chamois,m
tin,m
fortitude,f
an,m
darmstadtium,m
ail,m
sana,m
provenance,f
loose,f
chose,f
face,f
ban,m
ban,m
meringue,f
dimension,f
borne,f
kali,m
bled,m
rail,m
blonde,f
ben,m
jerk,m
abattis,m
came,f
came,f
graduation,f
gave,m
copyright,m
dada,m
lied,m
gone,m
dodo,m
dodo,m
diction,f
chat,m
chat,m
capital,m
bore,m
cork,m
vocal,m
